Name,Stars,Title,Date,Description,Sentiment
Mohit Soni,5.0,Beast phone,2024-02-15,"Wow, such a great phone, superfast, great performance, great camera, great looks",Positive
Dinesh,5.0,Good Mobile (If you have budget go for it. don't buy to impress or on EMI (not worth it)),2024-01-29,"As I was aware that what I need and what I was paying for, I needed a quality mobile with best hardware and software combination.
I need the OS to be clean without any bloatware which I got.
I don't play games. For moderate use of Social media, whatsapp, youtube, audible (audio books), music while exercising, Battery life is around 2 days or sometimes more than 2 days. If you are a gamer or use mobile a lot you might need to charge your mobile everyday.
Camera is good. So far the pictures I took the quality is good.
Not explore the processor's capacity yet but Never hanged or never will for me (not a heavy user so won't be a problem).",Positive
rs1008,5.0,Amazing Lightning fast phone,2023-12-03,The phone is really good it had some overheating issue as heard but not faced any it was due to software update now it is all fixed I still did not had any issue regarding overheating. The phone is really fast and the battery life is awesome. The new action button is really handy and useful. The camera is the best camera an iPhone ever had the photos are stunning and spectacular…. I am satisfied with the phone..,Positive
Placeholder,5.0,The best phone to show that you are doing great,2024-02-04,"A phone that screams that you are doing very well for yourself. Don’t get me wrong, it works extremely well and I am completely satisfied with it. but, it is way too expensive for a phone. I have a pixel 8 which as a secondary phone which costs way less and I am satisfied with that as well. Nevertheless, nothing can replace an iPhone for me due to personal preferences",Positive
Abban Rehmat,4.0,Incremental Upgrade with Enhanced Camera,2024-01-25,"I recently upgraded to the Apple 15 Pro Max, and while the enhanced camera is undoubtedly impressive, but I feel that it falls short of delivering a truly groundbreaking experience. If you're already using the 13 pro or 14 Pro, there seems to be little incentive to make the leap.

The camera improvements are noteworthy, capturing detail and clarity like never before. However, beyond this feature, the 15 Pro Max doesn't offer a significant leap in terms of innovation. Personally, I find the Pro versions more manageable in hand, and the Max variant, although boasting a larger screen, can be a bit unwieldy.

In essence, the 15 Pro Max is a solid device with a stellar camera, but for those already enjoying the perks of the previous Pro models, the upgrade might not feel as compelling.",Positive
Chankey,5.0,Best Smart Phone ever,2023-11-19,"It’s a fantastic phone…the feel and comfort in hand is awesome…looks stunning…also the brand appeal of Apple is fabulous. Camera is the best, performance is over the top…really fast and the games you can play are of play station’s…can any other phone do that…also the video quality is very nice…",Positive
Himanshu,5.0,Best Camera Phone in the market.,2024-02-22,,Neutral
Manish Dhir,5.0,Awesome camera and best quality phone,2024-01-17,"I recently switched from android to iphone. So i am liking the good audio quality, camera and everything.",Positive
Baniram Meena,4.0,Some few issues,2024-02-12,"Camera setting not available, so photos not better than Samsung m34, likely Caller tune should not set, call record not available. Should not connect to laptop. Download space not available",Negative
Raj Prabhu,4.0,Packing is bad,2024-01-28,Packing is bad. There's a tampered package within a new package. The tampered package contained the phone. But the phone is looking good,Positive
himanshu Enterprises,4.0,Heating issue not solved after update. Using more than 2 month.,2024-01-09,Camera quality is best,Positive
vamshi,4.0,Good product,2023-12-15,Good product,Positive
Ganesh panu,5.0,Best iphone in the world,2024-01-05,"I like in this phone best camera
And back glass is not too strong and
It is mild then other iphone's",Positive
Mohammed Kamal Khan,5.0,Good,2023-12-18,Good,Positive
Abhijeet,5.0,Nam hi kafi hai,2023-12-21,Ultimate performance but some bug issue in 17.2.1 update and FB is not functioning properly….😏😏😏😏😏Lot of BUG issues are experienced in this phone and needs to correct it.,Neutral
Rahul kumar,3.0,Hitting,2023-12-01,Hitting problem watching video and charging,Negative
Janaki,5.0,Superb phone !,2023-12-01,It’s a great buy. I upgraded from XS Max and am so glad I decided to get this. It’s pricey but worth it. Very powerful battery too,Positive
Aditi,5.0,Stylish one..best battery backup..sleek than 14 pro max,2023-12-12,,Neutral
CHANDAN HAZARIKA,5.0,Ultimate performance,2023-12-04,It’s around 2months I have been using this device and it has been working flawlessly. No heating issues or such. Totally worth the upgrade because of the camera.,Positive
Miniso Ladakh,5.0,Amazing phone,2023-10-29,This is my 1 st pro iPhone. And so far I’m really impressed with the performance and simplicity of the product.,Positive
pallabg,5.0,A nice phone,2023-10-29,"We have received the iPhone 15 Pro Max, natural titanium color, and 256 GB storage capacity. The phone is good-looking and fast. It gets charged with the Apple 20W USB-C Power Adapter (purchased separately). It also charges well using my 3-year-old Mi wireless charger (Qi charging). Overall, we are happy with the iPhone.",Positive
Dr Gajanan Ghule,5.0,Dr Gajanan Ghule,2023-11-12,"Lightning fast,titanium tantrums",Negative
venky,5.0,Get rid of false reviews . The phone is just awesome as usual .,2023-10-21,Superb,Positive
Najib Khan,5.0,Performance,2023-11-12,Performance very strong Charging,Positive
Prince Singh,3.0,iPhone 15 pro max,2023-11-04,Camera Quality not good,Negative
Shubhasmit,5.0,Best phone money can buy at the moment,2023-11-22,,Neutral
Anonymous,5.0,"Super fast charging and performance , best battery life",2023-11-11,Fast charging,Neutral
